"IDADE","INTERVALO DE IDADE","SEXO","ANO","LOCAL","nMx","nAx","nqx","lx","ndx","nLx","Sx","Tx","ex"
0,1,"Mulheres",2000,"Brasil",0.0249710191748541,0.123308202587237,0.0244360675290779,1e+05,2443.60675290778,97857.7100036233,0.974112481389853,7507655.35239616,75.0765535239616
1,4,"Mulheres",2000,"Brasil",0.00104892627217668,1.48422281419888,0.00418466233064474,97556.3932470922,408.240563934669,389198.530691303,0.996450184999489,7409797.64239254,75.9539933341416
5,5,"Mulheres",2000,"Brasil",0.000309852168446067,2.25041184822771,0.00154794204846547,97148.1526831575,150.379710469002,485327.281145615,0.998506220605554,7020599.11170124,72.2669337274839
10,5,"Mulheres",2000,"Brasil",0.00033708797359667,2.63362677472627,0.00168409650469518,96997.7729726885,163.353610426522,484602.309253478,0.997734934027898,6535271.83055562,67.3754832741958
15,5,"Mulheres",2000,"Brasil",0.00059044394681558,2.66204932882097,0.00294815002281556,96834.419362262,285.482395652187,483504.653052785,0.996658213939693,6050669.52130214,62.4846987378146
20,5,"Mulheres",2000,"Brasil",0.000738104315362976,2.5939309811828,0.00368397908810611,96548.9369666098,355.68426476387,481888.88394312,0.995865603226416,5567164.86824936,57.6615863743242
25,5,"Mulheres",2000,"Brasil",0.000933671309259504,2.61262795929318,0.00465797382585196,96193.252701846,448.06565330876,479896.564096119,0.994551313762989,5085275.98430624,52.8652045904739
30,5,"Mulheres",2000,"Brasil",0.0012792587416014,2.63469483588854,0.00637699794969939,95745.1870485372,610.566861502099,477281.75829214,0.992422014524096,4605379.42021012,48.1003751956269
35,5,"Mulheres",2000,"Brasil",0.00180524619699228,2.65147981316705,0.00898812441913,95134.6201870351,855.081802807748,473664.924059888,0.988974850515048,4128097.66191798,43.3921705242752
40,5,"Mulheres",2000,"Brasil",0.0026951028508986,2.6594126491872,0.0133910419064525,94279.5383842274,1262.50124942418,468442.697466349,0.983639470948547,3654432.73785809,38.7616740651062
45,5,"Mulheres",2000,"Brasil",0.00398616144633869,2.65537728460348,0.0197462578239204,93017.0371348032,1836.73839728101,460778.72710551,0.97586375083053,3185990.04039174,34.2516826866298
50,5,"Mulheres",2000,"Brasil",0.00591273765164464,2.65139952438442,0.0291587703729164,91180.2987375222,2658.70539342132,449657.2569361,0.964508083678077,2725211.31328623,29.8881595149322
55,5,"Mulheres",2000,"Brasil",0.00874667665948205,2.65121834869594,0.0428530096257544,88521.5933441009,3793.41669166187,433698.059199378,0.947027363927677,2275554.05635013,25.706203089958
60,5,"Mulheres",2000,"Brasil",0.0133354217992944,2.64167674684166,0.0646441014382923,84728.176652439,5477.17684620181,410723.929744137,0.921241235413718,1841855.99715075,21.7384118238042
65,5,"Mulheres",2000,"Brasil",0.0197287393066323,2.60489337301311,0.0941928548519406,79250.9998062372,7464.87792162006,378375.820451466,0.891477231516086,1431132.06740662,18.0582209802479
70,5,"Mulheres",2000,"Brasil",0.0268750775400866,2.6153991620281,0.126282411122127,71786.1218846171,9065.32455669632,337313.4288887,0.840142914879876,1052756.24695515,14.6651778828123
75,5,"Mulheres",2000,"Brasil",0.0449137136153584,2.6263270165481,0.202933710144509,62720.7973279208,12728.1641049768,283391.487374678,0.741870105729442,715442.818066452,11.4067876772345
80,5,"Mulheres",2000,"Brasil",0.0772236832041982,2.55329138347701,0.324757485952988,49992.633222944,16235.4818816531,210239.672701477,0.606620597870259,432051.330691774,8.64229993177244
85,5,"Mulheres",2000,"Brasil",0.125559361479424,2.42401423364613,0.474367724297381,33757.1513412909,16013.3030605304,127535.715950217,0.425026993144805,221811.657990297,6.57080497544776
90,0,"Mulheres",2000,"Brasil",0.188211837471929,5.31316209135437,1,17743.8482807605,17743.8482807605,94275.9420400798,0,94275.9420400798,5.31316209135437
0,1,"Homens",2000,"Brasil",0.032572374271601,0.133575293735201,0.0316783630383305,1e+05,3167.83630383304,97255.3083609565,0.966810998513473,6731573.27497415,67.3157327497415
1,4,"Homens",2000,"Brasil",0.001249494616144,1.55755025749519,0.00498277190274488,96832.163696167,482.492584547261,386150.19089578,0.995387626270203,6634317.9666132,68.5135776520484
5,5,"Homens",2000,"Brasil",0.000442807054604068,2.31305047925701,0.00221140414392066,96349.6711116197,213.068061961618,481175.852431125,0.997805340563579,6248167.77571742,64.848874974145
10,5,"Homens",2000,"Brasil",0.000534970333463326,2.80735748163624,0.00267171774587605,96136.6030496581,256.849868396021,480119.835306009,0.994349113500212,5766991.92328629,59.9874734528266
15,5,"Homens",2000,"Brasil",0.00194652254187062,2.85637597226507,0.00969217103542304,95879.7531812621,929.282966666942,477406.732610398,0.98729103982645,5286872.08798028,55.1406518327741
20,5,"Homens",2000,"Brasil",0.00301779341546816,2.60056957086828,0.0149804935430611,94950.4702145951,1422.40490596034,471339.389459068,0.984267476285864,4809465.35536988,50.6523595354519
25,5,"Homens",2000,"Brasil",0.00325097952436119,2.53595235383801,0.0161257214265977,93528.0653086348,1508.20752673568,463924.031336997,0.982866313319574,4338125.96591082,46.3831466158886
30,5,"Homens",2000,"Brasil",0.00370471747530861,2.55870181475792,0.0183575557668646,92019.8577818991,1689.25967089015,455975.302340549,0.979927197650971,3874201.93457382,42.1018031103271
35,5,"Homens",2000,"Brasil",0.0044717160047373,2.58246438354385,0.0221194569112612,90330.5981110089,1998.06377268492,446822.600220628,0.9749979441452,3418226.63223327,37.8412930249011
40,5,"Homens",2000,"Brasil",0.00575548435972583,2.60245856805707,0.0283857268077248,88332.534338324,2507.38318796163,435651.116612725,0.967137990616203,2971404.03201264,33.6388404823959
45,5,"Homens",2000,"Brasil",0.00774562524064571,2.61268339540933,0.0380249961229294,85825.1511503624,3263.50103974236,421334.745530536,0.955433379018244,2535752.91539992,29.5455688852487
50,5,"Homens",2000,"Brasil",0.0106812487653587,2.61595039460906,0.0520800449139099,82561.65011062,4299.81444592761,402557.279620032,0.938416751910963,2114418.16986938,25.6101733315211
55,5,"Homens",2000,"Brasil",0.015036830836844,2.61589719214201,0.0725821318894123,78261.8356646924,5680.41087812222,377766.494799144,0.913384242777135,1711860.89024935,21.8735080222716
60,5,"Homens",2000,"Brasil",0.0216534454060133,2.60940667101354,0.102938650786345,72581.4247865702,7471.43393968015,345045.963798689,0.876539988176005,1334094.3954502,18.3806586791756
65,5,"Homens",2000,"Brasil",0.031569423948662,2.58030862779908,0.14664515138753,65109.99084689,9548.06446458285,302446.585028281,0.83012295175658,989048.431651516,15.1904249837375
70,5,"Homens",2000,"Brasil",0.0436559784330897,2.56019296895279,0.197268407378672,55561.9263823072,10960.6127283287,251067.851912374,0.765289569759284,686601.846623235,12.3574161539848
75,5,"Homens",2000,"Brasil",0.0652140600688387,2.53659557390996,0.280938002388933,44601.3136539784,12530.203961871,192139.608370408,0.665601181814848,435533.994710862,9.76504858331705
80,5,"Homens",2000,"Brasil",0.099896993621282,2.45866799265858,0.398354214970216,32071.1096921075,12775.6617246232,127888.350404786,0.54430634238734,243394.386340453,7.58920999856613
85,5,"Homens",2000,"Brasil",0.145220226243354,2.34224804428362,0.523897859121529,19295.4479674843,10108.8438809559,69610.4402427794,0.397343700016249,115506.035935667,5.98618058157096
90,0,"Homens",2000,"Brasil",0.200163086410315,4.99592616168046,1,9186.60408652842,9186.60408652842,45895.5956928879,0,45895.5956928879,4.99592616168046
0,1,"Ambos",2000,"Brasil",0.0288335682311102,0.12873892276596,0.0281269745904994,1e+05,2812.69745904994,97549.4061818947,0.970389520580197,7110218.51042547,71.1021851042547
1,4,"Ambos",2000,"Brasil",0.00115023215350591,1.52433226026976,0.00458786424558463,97187.3025409501,445.882150452439,387645.354108204,0.995916462605124,7012669.10424357,72.1562274175556
5,5,"Ambos",2000,"Brasil",0.000376489082507096,2.28649868210855,0.00188052426213886,96741.4203904976,181.924588198104,483213.449342656,0.998160621780116,6625023.75013537,68.4817705114666
10,5,"Ambos",2000,"Brasil",0.000436038137256896,2.75171123686565,0.00217805545217724,96559.4958022995,210.311936291677,482324.63704838,0.996026821235478,6141810.30079271,63.6064868582966
15,5,"Ambos",2000,"Brasil",0.00126580475369664,2.80030008892027,0.00631145022577597,96349.1838660078,608.103078264437,480408.275042854,0.99200979531624,5659485.66374433,58.7393212548115
20,5,"Ambos",2000,"Brasil",0.00186651471982953,2.59906600011558,0.00929093739066688,95741.0807877434,889.524387313708,476569.714593489,0.990123164560833,5179077.38870148,54.0946200532603
25,5,"Ambos",2000,"Brasil",0.00207485243728619,2.55367033518012,0.0103218707130599,94851.5564004297,979.045502097753,471862.713947158,0.988798381694553,4702507.67410799,49.5775488833907
30,5,"Ambos",2000,"Brasil",0.00246560950076958,2.57869083561141,0.0122548858003257,93872.5108983319,1150.39690084888,466577.08793295,0.986308912702519,4230644.96016083,45.0679855015576
35,5,"Ambos",2000,"Brasil",0.00310266724302909,2.60372832548404,0.0153988483396478,92722.1139974831,1427.81377117877,460189.140291056,0.982149056738322,3764067.87222788,40.5951472626051
40,5,"Ambos",2000,"Brasil",0.00418439309228163,2.62210232435635,0.0207158416231414,91294.3002263043,1891.23826458365,451974.33005808,0.975579700136185,3303878.73193683,36.1893209515493
45,5,"Ambos",2000,"Brasil",0.00581358389663221,2.62882453213033,0.0286726659934811,89403.0619617206,2563.42413442291,440936.981387315,0.965876528748353,2851904.40187875,31.8994041065376
