"sexo","idade","ARIMA_p","ARIMA_d","ARIMA_q","RMSE","MAE","sMAPE"
"Feminino",0,0,1,0,0.00154728102673872,0.00134293738683321,12.4836769916687
"Feminino",1,0,1,0,7.18381298165027e-05,6.35391027449183e-05,14.4201270366015
"Feminino",5,0,1,0,9.71028536253361e-06,8.62320756319768e-06,4.07940933846372
"Feminino",10,0,1,0,2.75960798962921e-06,2.35399571998683e-06,0.965628602805519
"Feminino",15,0,2,0,7.44717979117439e-05,6.38437865132559e-05,12.7671712907939
"Feminino",20,0,2,0,1.02603212904037e-05,8.97566995749058e-06,1.57071843574872
"Feminino",25,1,2,0,7.99203595237862e-06,7.26450457769698e-06,1.06941509466425
"Feminino",30,0,2,0,4.506949937425e-05,3.9576315796734e-05,4.30053527693387
"Feminino",35,0,2,0,5.96697000954832e-05,5.60560434504382e-05,4.48080581882641
"Feminino",40,0,2,0,2.2500390396343e-05,1.85766212729409e-05,1.00614340566568
"Feminino",45,1,1,0,4.93775190608001e-05,4.34610646826188e-05,1.60589003313468
"Feminino",50,0,1,0,9.42689928242226e-05,7.85426286061561e-05,1.98294788431795
"Feminino",55,0,2,0,5.83628820442118e-05,4.89420573472116e-05,0.807429978524093
"Feminino",60,0,1,0,0.000463831006112887,0.000375632080452216,4.21347333976227
"Feminino",65,0,1,0,0.000346214188097025,0.000261739767614207,1.88011060684541
"Feminino",70,0,1,0,0.000160789874790917,0.000148186380691054,0.714691311033073
"Feminino",75,0,1,0,0.000443389144695695,0.000384833579629399,1.07502830452201
"Feminino",80,0,1,0,0.00066390240153747,0.000554647938550476,0.88622147637663
"Feminino",85,0,1,0,0.000966107203607377,0.000843675301497995,0.753601465195441
"Feminino",90,0,1,0,0.00264825528095554,0.00242499571567113,1.29357547410366
"Masculino",0,1,1,0,0.00239120676435615,0.00218047435431309,17.3979557471551
"Masculino",1,0,2,0,4.49203002792156e-05,3.07766852780067e-05,5.89564369883753
"Masculino",5,0,1,0,4.76528728915055e-06,4.25849758779675e-06,1.63027493848651
"Masculino",10,0,2,0,6.77270063594886e-05,5.5136273436422e-05,13.6419945019012
"Masculino",15,0,1,0,0.000175359926033816,0.000158904731703906,8.00658833771923
"Masculino",20,0,1,0,0.000139007695856849,7.50613467827888e-05,2.74604944988003
"Masculino",25,0,1,1,7.55867194479372e-05,5.33190249127065e-05,2.08834345589192
"Masculino",30,1,2,0,0.000256221088601582,0.000212394674494293,7.67521413676907
"Masculino",35,0,2,0,0.000242767639730312,0.000200422460898521,6.36481160603404
"Masculino",40,0,1,0,0.000128409630599746,0.000106323199546518,2.72428402157141
"Masculino",45,0,1,1,0.00017022705134315,0.000141271501902957,2.6275959616995
"Masculino",50,0,1,0,0.000124298050633805,0.000116415640499938,1.48441677899237
"Masculino",55,0,2,0,0.000143037462377742,0.000107965851054146,0.974052289905448
"Masculino",60,0,1,0,0.000637687910055904,0.000537846047779789,3.36807082055863
"Masculino",65,0,1,0,0.000772116570904919,0.00060816839221169,2.62799278860573
"Masculino",70,0,1,0,0.000228292613206609,0.000214266734185197,0.615876113199972
"Masculino",75,0,1,0,0.000701761011858913,0.000681891843422356,1.26132672752555
"Masculino",80,0,1,0,0.00120319292085397,0.00115853172682423,1.35756841635224
"Masculino",85,0,1,0,0.00485894359107228,0.00408971658554749,2.97325740361513
"Masculino",90,0,2,0,0.0299487524462426,0.0260398347196799,13.2240565062139
"Ambos",0,0,1,0,0.00183542402344171,0.00160270712472111,13.7145849053399
"Ambos",1,0,2,0,4.92440560887635e-05,3.92889155647713e-05,8.07171228467428
"Ambos",5,0,1,0,6.26858282238054e-06,5.23040917503168e-06,2.20971210238657
"Ambos",10,0,2,0,3.44677940001234e-05,2.84084883648843e-05,8.73178754643423
"Ambos",15,0,1,0,9.01412237584223e-05,7.97456317591025e-05,6.46334934101788
"Ambos",20,1,1,0,8.19176068549488e-05,5.05640286688398e-05,3.027033045293
"Ambos",25,2,1,0,4.72479632427919e-05,4.20202974903864e-05,2.58336113025988
"Ambos",30,0,2,1,0.000121847781443088,0.000100919203427775,5.57323892085572
"Ambos",35,0,2,0,8.88586796723343e-05,6.9123396707675e-05,3.20832695584943
"Ambos",40,0,2,0,8.48683714203778e-05,7.26830719623994e-05,2.53606116927229
"Ambos",45,1,1,0,7.02425414486811e-05,5.98858370459961e-05,1.49690721928594
"Ambos",50,0,1,0,3.31616736508664e-05,2.32006588232123e-05,0.384715375700301
"Ambos",55,0,2,0,9.20513625319548e-05,7.09204724108909e-05,0.842865770540406
"Ambos",60,0,1,0,0.000532004445313787,0.000438929165721708,3.59767666092442
"Ambos",65,0,1,0,0.000510147482639393,0.000399847808790443,2.19964542664109
"Ambos",70,0,1,0,0.000116813892463929,8.36168971000643e-05,0.302911204325958
"Ambos",75,0,1,0,0.000155805815334169,0.00013610246056439,0.31153915488811
"Ambos",80,0,1,0,0.000478827376474673,0.000379131293544272,0.523080670477343
"Ambos",85,0,1,0,0.00107986082015252,0.000854815514074953,0.71460832359299
"Ambos",90,0,0,0,0.00361980127495515,0.00338686003517551,1.73435412193813
