"sexo","idade","ano","previsto","inferior","superior","observado"
"Ambos",0,2012,0.0140916716814322,0.0135453753503929,0.0146600006009815,0.0144549428853476
"Ambos",1,2012,0.000575926676377559,0.000560964687527946,0.000591287729758885,0.000581207873957652
"Ambos",5,2012,0.000267787239992678,0.000262214393409566,0.000273478526370932,0.000267632450144096
"Ambos",10,2012,0.000352045873959024,0.000344837342560953,0.000359405093575868,0.00034904055449487
"Ambos",15,2012,0.00123917555391025,0.0012041761323199,0.0012751922349187,0.00128256113843233
"Ambos",20,2012,0.0017319549941164,0.00168609068550391,0.00177906688378879,0.0017153958292815
"Ambos",25,2012,0.00172130984625286,0.00169669420240332,0.00174628261392665,0.00172690281163937
"Ambos",30,2012,0.00195792582702347,0.00193407905287698,0.00198206662670959,0.00194399839320022
"Ambos",35,2012,0.00237958477245455,0.00234670672275578,0.00241292345327586,0.00238416053754828
"Ambos",40,2012,0.00319586821426714,0.00314411002468194,0.00324847844470591,0.00319974778591537
"Ambos",45,2012,0.00446563228901203,0.00441928549689156,0.00451246513824317,0.00447358328203509
"Ambos",50,2012,0.00638623568039064,0.00629975412534353,0.00647390443405132,0.00636823478458447
"Ambos",55,2012,0.00921312283630125,0.00910154783672312,0.00932606562306834,0.0092258669913104
"Ambos",60,2012,0.0132729704137648,0.0130145181053903,0.0135365552668222,0.0133307813730321
"Ambos",65,2012,0.0198317106965438,0.0196342209285581,0.0200311869048676,0.0198048558712394
"Ambos",70,2012,0.0286546291948757,0.0280851348869395,0.0292356713827875,0.0285683734253525
"Ambos",75,2012,0.0459844472260873,0.0454350555946441,0.0465404819915765,0.0459038851618225
"Ambos",80,2012,0.0752788236355586,0.0739760983152599,0.0766044900584403,0.0750570760340884
"Ambos",85,2012,0.123749675539123,0.12098738885322,0.126575028531418,0.124194745149171
"Ambos",90,2012,0.194301472466519,0.191576998963064,0.197064691518299,0.190757722259697
"Ambos",0,2013,0.0132755093585514,0.0125535646818727,0.0140389724508668,0.0141300443060711
"Ambos",1,2013,0.000550484988037204,0.000519019273232736,0.000583858322190736,0.000560871299544203
"Ambos",5,2013,0.000260291310599006,0.000252663879376751,0.000268148999138585,0.000258644590943455
"Ambos",10,2013,0.000350944915743772,0.000335079573056587,0.000367561450442712,0.000347786253864526
"Ambos",15,2013,0.00123917555391025,0.00118997004524004,0.00129041572058986,0.00132423496444093
"Ambos",20,2013,0.00173435599762688,0.00164698069675222,0.00182636671603739,0.00172854009923116
"Ambos",25,2013,0.00169015690714871,0.00163326569182382,0.00174902980273378,0.00172102471667905
"Ambos",30,2013,0.00194338659320116,0.00187686902680126,0.00201226158922273,0.00192243853226264
"Ambos",35,2013,0.00234741221272336,0.00227550725198799,0.00242158933645616,0.00234498047567195
"Ambos",40,2013,0.00313684434174769,0.00302438256907808,0.00325348800940682,0.00310767341730047
"Ambos",45,2013,0.00437967856946888,0.00429086669595362,0.00447032866109628,0.00434948427338919
"Ambos",50,2013,0.00625263188754036,0.00613322388844104,0.00637436464609869,0.00617960951897595
"Ambos",55,2013,0.00906471853235237,0.00882108351357746,0.00931508265898371,0.00902997581598703
"Ambos",60,2013,0.0129841472264372,0.0126280414517775,0.0133502950431056,0.0130280748562937
"Ambos",65,2013,0.0194398941161899,0.0191666851574691,0.0197169974955949,0.0192846601555375
"Ambos",70,2013,0.028222264970356,0.0274323085461652,0.0290349694309022,0.0279553735586227
