"sexo","idade","RMSE","MAE","sMAPE"
"Ambos",0,0.000729485825927533,0.000568150132992532,4.38442831395021
"Ambos",1,8.8981235194962e-05,8.79741392918241e-05,15.7156938167598
"Ambos",5,2.64220064051587e-05,2.62257799714359e-05,11.0098257995504
"Ambos",10,4.52395750596755e-05,4.50872374981707e-05,14.0137138063069
"Ambos",15,8.4545799040777e-05,7.52804110570381e-05,6.2862092505188
"Ambos",20,4.02401309485448e-05,2.97903934096831e-05,1.84644678935778
"Ambos",25,9.07061205077005e-05,8.64538898937666e-05,5.35262259535095
"Ambos",30,0.000258139561132765,0.000257621094630649,13.9756189169827
"Ambos",35,0.000305372577484369,0.000303979390308865,13.5950555027018
"Ambos",40,0.000483401749423271,0.000482243040675001,16.0243911980081
"Ambos",45,0.000583128736212957,0.000580366741353349,13.8776598885421
"Ambos",50,0.000849862096737151,0.000847857674119711,13.8774731897305
"Ambos",55,0.00108874038837416,0.00108621457960889,12.2898178713272
"Ambos",60,0.00064781460430783,0.00064615216807419,5.0448371858522
"Ambos",65,0.00144458240851879,0.00144368035398072,7.53199400895767
"Ambos",70,0.00340733455978836,0.00340125795321911,12.1162282304008
"Ambos",75,0.00167421082372563,0.00166524558428749,3.804855650014
"Ambos",80,0.00461026094734467,0.00460468568494475,6.29831289753239
"Ambos",85,0.00224315836409126,0.00212565686267041,1.78278805596849
"Ambos",90,0.00661269910360732,0.00658755762545982,3.37234116090324
"Feminino",0,0.00119427088570609,0.00109925921897296,9.13146313136189
"Feminino",1,7.08707421746233e-05,7.01913290039906e-05,13.7389010843631
"Feminino",5,3.49652118892029e-05,3.48512910591525e-05,16.1236544804079
"Feminino",10,1.59913251221296e-05,1.58442422049839e-05,6.35447009258506
"Feminino",15,2.44635444288905e-05,2.44471586819385e-05,5.28489300228217
"Feminino",20,2.83471009898119e-05,2.39260002795417e-05,4.15742121331692
"Feminino",25,7.20744179019675e-05,7.17488002165854e-05,10.3742895144743
"Feminino",30,6.93769349301184e-05,6.81746818420982e-05,7.42495036718342
"Feminino",35,8.26989473248759e-05,8.24990844003082e-05,6.36576072408477
"Feminino",40,0.000167894412404383,0.00016714996754985,8.73180755171283
"Feminino",45,0.000272729063587339,0.000272556326936604,9.64804115002536
"Feminino",50,0.000423907918729689,0.000423831505014497,10.1123265738113
"Feminino",55,0.000487026859167273,0.000486555021084837,7.86214447726086
"Feminino",60,0.000399391632682653,0.000391419026457001,4.16406717579037
"Feminino",65,0.00137337471920512,0.00137167138047848,9.27493168540883
"Feminino",70,0.00155408074037473,0.00155386435259704,7.32449390658759
"Feminino",75,0.00223463389790305,0.00221235601152968,6.01725799216054
"Feminino",80,0.00371249882325329,0.00370336656095889,5.75602190733077
"Feminino",85,0.00157814185977516,0.00143591497282162,1.31061910656683
"Feminino",90,0.0024844198879933,0.00241721378291588,1.28223520108616
"Masculino",0,0.000715959024378436,0.000615224021377246,4.57776684176711
"Masculino",1,0.000107126920645147,0.00010439032682458,17.2356685420529
"Masculino",5,2.73956776912485e-05,2.67256396692403e-05,10.1180078324387
"Masculino",10,8.48100320030464e-05,8.35676944886077e-05,21.082210765569
"Masculino",15,0.000189293006956836,0.000162872684287229,8.47550602115325
"Masculino",20,0.000243307623133268,0.000170026223909165,6.16523138432752
"Masculino",25,0.000256121332729802,0.000229639526309955,8.76984858626522
"Masculino",30,0.000508105660775625,0.000500653356570623,17.7401339929159
"Masculino",35,0.00055487088929939,0.000549695621868269,17.0231471915018
"Masculino",40,0.000759160366884495,0.000754619102122959,18.2135381562946
"Masculino",45,0.000900742558594898,0.000894083739136306,15.8574953232224
"Masculino",50,0.00106863832295928,0.00106642290391908,13.1566358191484
"Masculino",55,0.0017071942356461,0.00169728631766936,14.3972819193703
"Masculino",60,0.00107773736467049,0.0010741959581755,6.39991544487819
"Masculino",65,0.00112939217202639,0.00112046373985161,4.63404285008772
"Masculino",70,0.00451258896357498,0.00448951528697214,12.4956270914278
"Masculino",75,0.0021817533809382,0.00217981753927208,4.05189637977612
"Masculino",80,0.00392880720349233,0.00392560688461364,4.60245252414389
"Masculino",85,0.00481038622807397,0.00456883082775027,3.35744862544161
"Masculino",90,0.0212271113733385,0.0210386631158899,10.2342828869606
