"idade","ano","previsto","inferior","superior","sexo","observado"
0,"2012",0.0131493578021905,0.0128117168312715,0.0134958969892303,"Feminino",0.0112441653700822
1,"2012",0.000569153360108249,0.000529554348916267,0.000611713505866666,"Feminino",0.000482658039132429
5,"2012",0.000236973332985309,0.000231827981057436,0.000242232884443114,"Feminino",0.000202804625956757
10,"2012",0.000263678513298083,0.000256193452454284,0.000271382260979109,"Feminino",0.000244120631469099
15,"2012",0.000490210750516673,0.000479412588846934,0.000501252127108504,"Feminino",0.00046653646507089
20,"2012",0.000603642085125674,0.000589646940781282,0.000617969401235362,"Feminino",0.000560695295280403
25,"2012",0.00074522535578261,0.000713456166439535,0.000778409181986354,"Feminino",0.000670650802859736
30,"2012",0.000984472062725903,0.000958570539159703,0.0010110734710639,"Feminino",0.000903234177756624
35,"2012",0.0013756346252258,0.00133945158081047,0.00141279509407507,"Feminino",0.00129813036448878
40,"2012",0.00205916793609277,0.00199635287766504,0.00212395946451708,"Feminino",0.0018801837204144
45,"2012",0.00303401251870474,0.0029873849642152,0.00308136784308792,"Feminino",0.00276913102869272
50,"2012",0.00452333499980869,0.00441962103551619,0.00462948278960406,"Feminino",0.00410540216228509
55,"2012",0.0066055336556946,0.00649693769535169,0.00671594479161033,"Feminino",0.00613897417303654
60,"2012",0.00983294208999623,0.00968356946226037,0.00998461884556467,"Feminino",0.00934098078133144
65,"2012",0.0157199147267977,0.0154352402021813,0.0160098395477427,"Feminino",0.0143617906818095
70,"2012",0.0224213702643014,0.0219901295874508,0.0228610678499952,"Feminino",0.0209030466156008
75,"2012",0.0382348004744195,0.0379775311728464,0.0384938125826335,"Feminino",0.0364720048033259
80,"2012",0.0671902809708734,0.0659133749568681,0.0684919238303167,"Feminino",0.0633300542074554
85,"2012",0.111997899979351,0.109175812852437,0.114892935276228,"Feminino",0.111580109134992
90,"2012",0.186989221593297,0.18444981717558,0.189563587145134,"Feminino",0.190299559143387
0,"2013",0.0127252655295905,0.0123781939066525,0.0130820686781741,"Feminino",0.0118457403996224
1,"2013",0.000552909401136207,0.000512838303315102,0.000596111491455746,"Feminino",0.000490680211321701
5,"2013",0.000234626399566711,0.00022906370648951,0.00024032417975459,"Feminino",0.000196982846615696
10,"2013",0.000259142991316712,0.000251107709275538,0.000267435397114332,"Feminino",0.000244127193706332
15,"2013",0.000480412817164139,0.000468698654320948,0.000492419751513824,"Feminino",0.000455357438602881
20,"2013",0.000589634507282354,0.000574742703131048,0.000604912163797983,"Feminino",0.000557609350752891
25,"2013",0.000733266106223956,0.000700742575124368,0.000767299150392589,"Feminino",0.000656820426420847
30,"2013",0.000961186757542496,0.0009344815444196,0.000988655140802028,"Feminino",0.000885300082678025
35,"2013",0.00135055804231257,0.00131330617280108,0.00138886655939859,"Feminino",0.00126506929479191
40,"2013",0.00201708720918463,0.00195243486988477,0.00208388042654471,"Feminino",0.00184222125357385
45,"2013",0.00298654466189351,0.00293808130291617,0.00303580741915879,"Feminino",0.00272302739757205
50,"2013",0.00444460350747052,0.00433739332690554,0.00455446367201216,"Feminino",0.00402321274511456
55,"2013",0.00649109618921229,0.0063789130859452,0.00660525220675005,"Feminino",0.00599354483113515
60,"2013",0.00965236107069817,0.00949717918129161,0.00981007859919713,"Feminino",0.00922338322135395
65,"2013",0.0155517168693739,0.0152553325338041,0.0158538594323817,"Feminino",0.0141235800508043
70,"2013",0.0221416438840169,0.0216905234478379,0.0226021467423597,"Feminino",0.0205736387689359
75,"2013",0.0380192697581081,0.0377440636233683,0.0382964825240722,"Feminino",0.035936673507818
80,"2013",0.066505575148491,0.065124701131685,0.0679157285787476,"Feminino",0.0625697982042192
