"sexo","idade","RMSE","MAE","sMAPE"
"Ambos",0,0.000710368941970773,0.000640655725449015,4.88331193896745
"Ambos",1,2.54504880519716e-05,2.09061505633502e-05,3.98772651822139
"Ambos",5,1.32998068928773e-05,1.26805210751786e-05,4.97180324534201
"Ambos",10,7.41989155035386e-06,6.72450779909901e-06,1.98584895284359
"Ambos",15,0.000140482942714157,0.000138365927775161,11.1124426646942
"Ambos",20,8.01209926437085e-05,7.81657892190558e-05,4.66408355396707
"Ambos",25,5.85167775761206e-05,5.59747375609794e-05,3.34120705050529
"Ambos",30,5.82610215006729e-05,5.78957795475299e-05,3.10668207050343
"Ambos",35,4.63606609266575e-05,4.60981045169473e-05,2.01608116801656
"Ambos",40,1.43313812530724e-05,1.35026174643912e-05,0.438784061032373
"Ambos",45,1.17824912594075e-05,1.08561469079288e-05,0.250142403516409
"Ambos",50,0.000113616205837398,0.000110341957923784,1.77760274447101
"Ambos",55,0.000106306730633357,9.83519991420503e-05,1.10991577004493
"Ambos",60,0.000280865314467206,0.000236855225999155,1.85735745286942
"Ambos",65,0.000278240344890697,0.000238873959474217,1.22517751719177
"Ambos",70,0.000133718168482955,0.000117095819460527,0.422696575995354
"Ambos",75,0.000425375800123773,0.000401026023988676,0.882890055092684
"Ambos",80,0.00159833351781005,0.00156458789264851,2.11111350503432
"Ambos",85,0.00252270408649384,0.00248638191470668,2.04295120277717
"Ambos",90,0.00244657223186314,0.00213210206225994,1.10435603296713
"Feminino",0,0.000573009892493612,0.000537316562947037,4.47342473990003
"Feminino",1,2.27244065790262e-05,1.81750846256262e-05,3.71025960703296
"Feminino",5,1.28876654894659e-05,1.23226585976793e-05,5.49688281964563
"Feminino",10,2.5609028673036e-06,2.14009945187084e-06,0.829002683175425
"Feminino",15,2.2706999175788e-05,2.19944338850035e-05,4.55655451583791
"Feminino",20,1.40658909254576e-05,1.36328345643066e-05,2.3831253186868
"Feminino",25,1.03080367447566e-05,8.39606217876304e-06,1.22014967216854
"Feminino",30,3.34667015679766e-05,3.31388580395539e-05,3.55452288481341
"Feminino",35,4.6396801485045e-05,4.12184105274457e-05,3.15361160441108
"Feminino",40,3.14407232166404e-05,2.88614853181258e-05,1.48931274790799
"Feminino",45,3.01993272218242e-05,2.78402526921459e-05,0.968981313431893
"Feminino",50,4.52076442422765e-05,4.2966343254195e-05,1.00707095913467
"Feminino",55,0.00013637484801357,0.000128021396510339,2.03653521598505
"Feminino",60,0.000172728369766172,0.000133499281987653,1.42431209457077
"Feminino",65,0.000177416222133908,0.000147651690120611,0.982965986467606
"Feminino",70,0.000212283152363989,0.000183742838855677,0.861888135800329
"Feminino",75,0.00024896207450184,0.000223332364702584,0.595399616659032
"Feminino",80,0.000939135390058335,0.000906370049413543,1.39089479026114
"Feminino",85,0.00286414082601622,0.00279902824202821,2.49290619312056
"Feminino",90,0.00224854588429179,0.00184294300804609,0.990826250724457
"Masculino",0,0.000847816756718713,0.000740311833741732,5.217384493802
"Masculino",1,2.86931977837749e-05,2.50106830788692e-05,4.46939616004009
"Masculino",5,1.36634627112817e-05,1.28651812552854e-05,4.52675921796221
"Masculino",10,1.5510062924199e-05,1.45481626418703e-05,3.5123134540253
"Masculino",15,0.000250137706793647,0.000245114226284064,12.2130580977979
"Masculino",20,0.000143418599299413,0.000139588199950384,4.99872924749009
"Masculino",25,0.00010187371094111,9.82097688647695e-05,3.65880777675644
"Masculino",30,8.32799494070247e-05,8.26841079737036e-05,2.91754557299046
"Masculino",35,5.45020905931006e-05,5.0845408663849e-05,1.52103969514175
"Masculino",40,6.13225943567083e-05,5.09324897502775e-05,1.21026789579873
"Masculino",45,4.47710297068387e-05,4.01599851198909e-05,0.694696251223985
"Masculino",50,0.000212277453246814,0.000208785930987723,2.50883792026132
"Masculino",55,7.39719691589972e-05,6.58857724234038e-05,0.560583277845244
"Masculino",60,0.000446921213728119,0.000396502397503373,2.39308138320807
"Masculino",65,0.000383066322438155,0.000343175759950591,1.39081162111013
"Masculino",70,0.00012208659336223,8.44792653499193e-05,0.235822834234414
"Masculino",75,0.00108956094408607,0.00108571900321361,1.9414273966373
"Masculino",80,0.00270161353995336,0.0026215549913911,2.9868523200671
"Masculino",85,0.0020925840580132,0.00207773529135041,1.50902934098886
"Masculino",90,0.00433202891241853,0.00376846280007979,1.82826735531702
