"sexo","idade","ETS_Metodo","RMSE","MAE","sMAPE"
"Feminino",0,"ETS(A,A,N)",0.00122906779017524,0.00121241279578111,10.2827231776252
"Feminino",1,"ETS(A,A,N)",2.92408323882152e-05,2.64278546566391e-05,5.37570568188029
"Feminino",5,"ETS(A,A,N)",7.98919836228735e-06,7.12093697103044e-06,3.23432477351897
"Feminino",10,"ETS(A,A,N)",1.4429230216301e-06,1.32878817064301e-06,0.512648934780354
"Feminino",15,"ETS(A,A,N)",3.75012644506459e-05,3.11201066508184e-05,6.17157194492961
"Feminino",20,"ETS(A,A,N)",1.61025363704347e-05,1.5266399911544e-05,2.61559284590509
"Feminino",25,"ETS(A,A,N)",5.57710477851335e-06,4.56151337147791e-06,0.65378883421551
"Feminino",30,"ETS(A,A,N)",2.22253244292289e-05,1.97462134896873e-05,2.06920018743867
"Feminino",35,"ETS(A,A,N)",4.70201935513009e-05,4.22390727015826e-05,3.23098565901983
"Feminino",40,"ETS(A,A,N)",1.35624196045532e-05,1.06244061478536e-05,0.54401532442243
"Feminino",45,"ETS(A,A,N)",1.4365526989615e-05,1.14911755500649e-05,0.394216229995154
"Feminino",50,"ETS(A,A,N)",4.41110710468165e-05,3.91776823577298e-05,0.916679679665713
"Feminino",55,"ETS(A,A,N)",3.26889953517714e-05,3.12021269097248e-05,0.487954744732696
"Feminino",60,"ETS(A,A,N)",0.000171721007102488,0.000132942267396964,1.41811520525723
"Feminino",65,"ETS(A,A,N)",9.75162052340199e-05,7.93253216769358e-05,0.538765025635599
"Feminino",70,"ETS(A,A,N)",0.000117151285668184,0.000106633545301251,0.494806860173018
"Feminino",75,"ETS(A,A,N)",0.000434506580326121,0.000366262359810359,0.992837175598172
"Feminino",80,"ETS(A,A,N)",0.000567641142464756,0.000511231552780336,0.786888472437921
"Feminino",85,"ETS(A,N,N)",0.00129938345145324,0.00113571588232268,0.993844082722298
"Feminino",90,"ETS(A,N,N)",0.00192372811974385,0.00177611605165855,0.953672008905173
"Masculino",0,"ETS(A,A,N)",0.00158009662036636,0.00152377336910337,10.9066573796709
"Masculino",1,"ETS(A,A,N)",7.63659781232243e-06,4.62900975598595e-06,0.824551622631128
"Masculino",5,"ETS(A,A,N)",6.1100781861351e-06,4.65497464104386e-06,1.69711859707864
"Masculino",10,"ETS(A,A,N)",1.79249936845084e-05,1.24441399055703e-05,2.97937380507478
"Masculino",15,"ETS(A,N,N)",0.000162439732808161,0.000156376609779183,7.61450331513729
"Masculino",20,"ETS(A,N,N)",1.71642211653313e-05,1.67236705073076e-05,0.584022058740055
"Masculino",25,"ETS(A,A,N)",7.04055019241505e-06,6.15398987064461e-06,0.223779695315402
"Masculino",30,"ETS(A,A,N)",9.37535104084629e-05,8.07430168307736e-05,2.79265800301464
"Masculino",35,"ETS(A,A,N)",0.000102811244154028,8.16535536948642e-05,2.45568495881816
"Masculino",40,"ETS(A,A,N)",9.76205402719818e-05,8.39053166228282e-05,1.9797263821647
"Masculino",45,"ETS(A,A,N)",7.31306035923157e-05,6.23190762684479e-05,1.07865329720051
"Masculino",50,"ETS(A,A,N)",9.05171937439103e-05,8.46387054735044e-05,1.02685286962493
"Masculino",55,"ETS(A,A,N)",4.5486022285576e-05,2.94646570146552e-05,0.25213506502665
"Masculino",60,"ETS(A,A,N)",0.000291632768838171,0.000221854769700969,1.33731743173514
"Masculino",65,"ETS(A,A,N)",0.00024282676817717,0.000178813095686715,0.740902061218609
"Masculino",70,"ETS(A,A,N)",0.000245675490035831,0.000225859920232347,0.631128919328621
"Masculino",75,"ETS(A,A,N)",0.000521354777052621,0.000510571775031244,0.9190742577806
"Masculino",80,"ETS(A,N,N)",0.00349349419056576,0.00323391677880762,3.6727585960356
"Masculino",85,"ETS(A,N,N)",0.00192732771968858,0.00172427560029469,1.23721865033586
"Masculino",90,"ETS(A,N,N)",0.00423676910632515,0.00311673552469725,1.51400027998001
"Ambos",0,"ETS(A,A,N)",0.00138467767814342,0.00135015118846472,10.453924521218
"Ambos",1,"ETS(A,A,N)",1.6656820699105e-05,1.40598122271594e-05,2.64133125778662
"Ambos",5,"ETS(A,A,N)",6.94686969041345e-06,5.84163006521588e-06,2.35014600174753
"Ambos",10,"ETS(A,A,N)",8.94029754726783e-06,6.54267631531348e-06,1.94201318740533
"Ambos",15,"ETS(A,N,N)",7.63567397813057e-05,7.42251560815892e-05,5.80608419329979
"Ambos",20,"ETS(A,N,N)",1.49453122499109e-05,1.20183136070654e-05,0.699167155475462
"Ambos",25,"ETS(A,N,N)",3.8813435593579e-05,3.61014488201321e-05,2.09251236780565
"Ambos",30,"ETS(A,A,N)",5.5325982163882e-05,4.7967492887917e-05,2.52010495480467
"Ambos",35,"ETS(A,A,N)",2.6298682229984e-05,1.96951413555044e-05,0.862331907533363
"Ambos",40,"ETS(A,A,N)",4.57839539044934e-05,3.8867807536381e-05,1.27494528402658
"Ambos",45,"ETS(A,A,N)",5.816657656181e-05,4.96920822262866e-05,1.16174195432598
"Ambos",50,"ETS(A,A,N)",4.66234207808901e-05,3.72119053295387e-05,0.600878475063044
"Ambos",55,"ETS(A,A,N)",9.12005282376392e-05,8.10195865475916e-05,0.915257619833948
"Ambos",60,"ETS(A,A,N)",0.000191769021033477,0.000138038620369462,1.08266273426879
"Ambos",65,"ETS(A,A,N)",0.000157242065417752,0.000122911767879274,0.645060533326668
"Ambos",70,"ETS(A,A,N)",0.000211140385932796,0.000192579045552376,0.688239713381665
"Ambos",75,"ETS(A,A,N)",0.000284475785288968,0.000224105249067064,0.503524925121876
"Ambos",80,"ETS(A,N,N)",0.00286563033837408,0.00268360408100896,3.59627000111921
"Ambos",85,"ETS(A,N,N)",0.00159828557956608,0.00142404548428362,1.15193133804614
"Ambos",90,"ETS(A,N,N)",0.00269999151677796,0.00246205983933841,1.27441435848251
