idade,RMSE,MAE,sMAPE,sexo
0,4.1743484944669e-4,3.5457476492353e-4,2.8542106776003062,Feminino
1,2.4466648846848455e-5,2.428767003247867e-5,4.61973068609557,Feminino
5,2.2389640330803503e-5,2.1255918522381143e-5,9.283489287336517,Feminino
10,1.3183867458036452e-5,1.2301216426327465e-5,4.686590535782993,Feminino
15,1.4333841763002888e-5,1.1924603795683648e-5,2.425320418268105,Feminino
20,5.808395415154148e-6,5.135087991257263e-6,0.8891284434194349,Feminino
25,3.445538702849387e-5,3.423816286999746e-5,4.774654266145674,Feminino
30,2.534548714975185e-5,2.379717950282099e-5,2.4836912653680203,Feminino
35,2.4993987612958343e-5,2.3394495723199564e-5,1.7235703216989398,Feminino
40,4.284768556215385e-5,3.766088862207568e-5,1.917490030968465,Feminino
45,4.9204244975097294e-5,4.596873059935886e-5,1.5777400847546843,Feminino
50,1.0185962442299e-4,9.716951070096853e-5,2.2639106052734936,Feminino
55,5.782300499314238e-5,5.5167221434153195e-5,0.8693631407214248,Feminino
60,4.6385653379857214e-5,3.851952206848424e-5,0.4033810588413399,Feminino
65,2.9891263076391e-4,2.6793574098236e-4,1.8003630916258009,Feminino
70,1.7245740576037e-4,1.5932232325947e-4,0.7395873620859135,Feminino
75,1.5186289081502e-4,1.200605881201e-4,0.3206126725535566,Feminino
80,0.00111185395460795,0.00108171391176803,1.6602840955791511,Feminino
85,0.00171229747583104,0.00163893453567459,1.4529615376087155,Feminino
90,0.00212049803439878,0.00186898130055938,1.0041746629076864,Feminino
0,9.0506362629941e-4,8.2055631573018e-4,5.419252949612519,Masculino
1,6.548624743237963e-5,6.282199242461058e-5,10.212643075967842,Masculino
5,3.755467072459032e-5,3.500749403519406e-5,11.79758072096448,Masculino
10,1.4937896590204028e-05,1.1455227095236826e-5,2.7484067811621635,Masculino
15,1.764666390629e-4,1.7204975642415e-4,8.412615648118303,Masculino
20,2.92877483026149e-5,2.304360366137939e-5,0.8032246695839984,Masculino
25,5.095555592999139e-5,4.767964947910734e-5,1.7265351204547446,Masculino
30,1.8439571974512e-4,1.6251915997918e-4,5.518107603312466,Masculino
35,6.370058700040854e-5,5.566164483492258e-5,1.6694596524326368,Masculino
40,1.6100043359964e-4,1.3779889418981e-4,3.223052904613355,Masculino
45,9.884365508627788e-5,8.385808667776698e-5,1.4453883432552148,Masculino
50,3.3006799676174e-4,3.117598198502e-4,3.7325734368817542,Masculino
55,1.5031150927084e-4,1.4034331875918e-4,1.185058044176136,Masculino
60,7.699758236108069e-5,6.0777923905381594e-5,0.3574687240685148,Masculino
65,2.365154683878e-4,2.0263417534571e-4,0.8392808507350744,Masculino
70,4.4820137256251e-4,4.3166384711044e-4,1.2116857060881037,Masculino
75,3.620597603717e-4,2.922403910605e-4,0.5280238497423333,Masculino
80,0.00319667563917147,0.00302732425491291,3.44240240881061,Masculino
85,8.8496516633389e-4,7.1381369035211e-4,0.5143157650304888,Masculino
90,0.00659059011150986,0.00504823769260148,2.4730279871514735,Masculino
0,0.00127198505386121,0.00124566607594058,8.721478173284012,Ambos
1,4.5256227919676454e-5,4.41544028558597e-5,7.730457141805498,Ambos
5,2.515809396608397e-5,2.4021896612400237e-5,9.191302550155104,Ambos
10,8.033283700335e-6,6.7785346457797105e-6,2.007077663556363,Ambos
15,1.3787260445964e-4,1.3550539693397e-4,10.870415169118877,Ambos
20,5.331369348693726e-5,5.046550902380702e-5,2.9876250342676327,Ambos
25,2.335119551255655e-5,1.8664028803524503e-5,1.0764556507686176,Ambos
30,1.81332792577712e-5,1.4552354149245715e-5,0.7746040072935887,Ambos
35,2.359121876863568e-5,2.128186061677842e-5,0.915467079953188,Ambos
40,1.586293206896469e-5,1.377056255717616e-5,0.4522157957852984,Ambos
45,3.613785762218263e-5,3.332881093392223e-5,0.7785999504218666,Ambos
50,1.9468547847801e-4,1.9230732996905e-4,3.083032538183085,Ambos
55,1.941960079083761e-5,1.3866728586264202e-5,0.15636516735144956,Ambos
60,8.799065913924971e-5,6.150858635885778e-5,0.4798938034933817,Ambos
65,4.4198838114812e-4,4.3058111031357e-4,2.216713934609575,Ambos
70,2.0144420171337e-4,1.7771272257147e-4,0.6395035675540317,Ambos
75,6.9522464703563e-4,6.6759992000848e-4,1.475001179665835,Ambos
80,0.00222543507925,0.00217095879811141,2.9186019156936127,Ambos
85,9.3647594431164e-4,9.0151511583663e-4,0.7360052403542864,Ambos
90,0.00252800117953496,0.00225316023124772,1.167546805598722,Ambos
