idade,RMSE,MAE,sMAPE,sexo
0,0.00123633645869388,0.00116859424145075,9.001298707445697,Feminino
1,4.714137205418172e-5,4.57136521065728e-5,8.536320741739939,Feminino
5,2.760047897660073e-5,2.586462638650877e-5,11.169837564163146,Feminino
10,1.7516198126978002e-5,1.660908788447749e-5,6.268849697013593,Feminino
15,1.4915084563781643e-5,1.244549087631443e-5,2.5353916436509225,Feminino
20,1.4701408151178732e-5,1.2508302637055034e-5,2.1553928058815743,Feminino
25,4.017026357266559e-5,3.956734505115872e-5,5.4996741153808895,Feminino
30,3.6531739167795175e-5,3.357465499868523e-5,3.4848930632160133,Feminino
35,5.1505738408099865e-5,5.082533932970876e-5,3.7265135064722537,Feminino
40,1.1306805139395e-4,1.0399261916331e-4,5.189043932768111,Feminino
45,1.4728389894638e-4,1.329255665727e-4,4.494522121819027,Feminino
50,2.5924482669301e-4,2.4973887829832e-4,5.72033331588929,Feminino
55,1.8579487709553e-4,1.68977676214e-4,2.62114066402462,Feminino
60,3.0196129952957e-4,2.785533608652e-4,2.875616705835962,Feminino
65,7.9612553931133e-4,7.6023166702344e-4,5.009002194070735,Feminino
70,3.6905990262956e-4,3.3357005040354e-4,1.545595308663671,Feminino
75,8.7922684339148e-4,8.3411969068337e-4,2.2136153560691607,Feminino
80,0.00194282525094103,0.00183483959519211,2.8016830589479427,Feminino
85,2.9680609957586e-4,2.0232304101005e-4,0.17711539301021048,Feminino
90,0.00192630768491481,0.00170731155476543,0.9168353016882604,Feminino
0,0.00251978752692011,0.0023883006083989,14.859137502657449,Masculino
1,9.536051875479193e-5,9.204229850969951e-5,14.57922411042282,Masculino
5,4.3689447755856746e-5,4.109678788379274e-5,13.687053442278122,Masculino
10,1.806171408072299e-5,1.494349624776804e-5,3.554649441546028,Masculino
15,2.4163157453907e-4,2.3556458103844e-4,11.70899928815824,Masculino
20,9.115045740688924e-5,8.372043010686952e-5,2.969573695868551,Masculino
25,6.207963501754948e-5,5.8830399668437835e-5,2.118047018814534,Masculino
30,1.416910104339e-4,1.321625778748e-4,4.515258327855467,Masculino
35,2.3545522541534e-4,2.0857516529121e-4,6.102191540213631,Masculino
40,4.274711395423e-4,4.0644938479551e-4,9.1474774235246,Masculino
45,5.8340161827215e-4,5.3972076239573e-4,8.876005983252002,Masculino
50,8.6590183086989e-4,8.3687014474208e-4,9.68327478486118,Masculino
55,8.6316173168352e-4,8.0959286274469e-4,6.619057917377587,Masculino
60,9.1461842974751e-4,8.3284702511807e-4,4.812454595655031,Masculino
65,0.00208738103079543,0.00205576580961361,8.09591317181631,Masculino
70,0.00175004997338058,0.00160934790028781,4.420290351178535,Masculino
75,0.00325094831964481,0.00311986853372715,5.483311723919717,Masculino
80,0.00475109319707788,0.00457879962486879,5.156138551125364,Masculino
85,8.491265169249e-4,7.7871868039457e-4,0.5609795739447733,Masculino
90,0.00394206391926507,0.0033083081413661,1.6079050229820178,Masculino
0,0.00226555435002299,0.0021964187131102,14.85786257165732,Ambos
1,8.014205217561632e-5,7.77319314964386e-5,13.199327744196,Ambos
5,3.597844560637055e-5,3.343426867629397e-5,12.530987973604674,Ambos
10,1.4477515705236638e-5,1.2152323743897836e-5,3.5523570018832924,Ambos
15,1.2483390459765e-4,1.2373261490764e-4,9.876858276337463,Ambos
20,4.1071341258786055e-5,3.959952661498607e-5,2.332911550139797,Ambos
25,3.377135602034971e-5,3.1668947044301266e-5,1.8380177303533487,Ambos
30,8.994112424509383e-5,8.11585536684079e-5,4.214595979413085,Ambos
35,8.908154529520645e-5,7.343866603011365e-5,3.15417453429911,Ambos
40,1.5656987277009e-4,1.3549981225033e-4,4.346324898682614,Ambos
45,1.8763965664939e-4,1.7147681419544e-4,3.929458698432216,Ambos
50,3.6783265532293e-4,3.4820995612785e-4,5.5243760921234415,Ambos
55,2.8037403435963e-4,2.4547554026268e-4,2.7133960308821514,Ambos
60,3.7815360630857e-4,3.2664364567392e-4,2.4895131586244563,Ambos
65,9.4828760795508e-4,8.8694215462393e-4,4.515574598298228,Ambos
70,8.2931921250704e-4,7.1944690764934e-4,2.5596549827018578,Ambos
75,0.00163034285527349,0.00158089163538072,3.4551748926710504,Ambos
80,0.00339144560064009,0.0032555282081878,4.343890244049468,Ambos
85,7.3013438392918e-4,6.9211056253354e-4,0.5627139128398781,Ambos
90,0.00238199464693832,0.00214313285061688,1.1103502077810794,Ambos
