idade,RMSE,MAE,sMAPE,sexo
0,8.6393979811281e-4,8.0204975587806e-4,6.2850150393796635,Feminino
1,3.884898668576998e-5,3.844510824814443e-5,7.2195567793026925,Feminino
5,2.320860578101159e-5,2.171723336611097e-5,9.47662368932713,Feminino
10,1.5802119552891166e-5,1.51429239878712e-5,5.732710320985652,Feminino
15,1.248879616263471e-5,1.0667382070912709e-5,2.168593663019161,Feminino
20,1.3934692234583824e-5,1.1603921531877397e-5,2.0023456241044597,Feminino
25,4.208883619419537e-5,4.175783923064414e-5,5.79323478436884,Feminino
30,3.360676571097623e-5,3.1070745123525285e-5,3.2297215206028764,Feminino
35,2.9116317071114295e-5,2.883757323168118e-5,2.1315114028719795,Feminino
40,8.790129504741627e-5,8.336601436102851e-5,4.182880594790614,Feminino
45,1.3115031517019e-4,1.2475556066599e-4,4.221415092044307,Feminino
50,2.2054149340995e-4,2.1731218738867e-4,4.992625220792181,Feminino
55,1.0643915356416e-4,9.421374944900143e-5,1.4726974763942249,Feminino
60,1.5909758340724e-4,1.4212872933944e-4,1.4792099014171216,Feminino
65,4.9591928080924e-4,4.561806313744e-4,3.0420141130927085,Feminino
70,1.9662670160658e-4,1.8998401184655e-4,0.882122135206632,Feminino
75,5.869292976434e-4,5.5783034675635e-4,1.4860173738969404,Feminino
80,0.00154173420679422,0.00147294346089415,2.2554338245100385,Feminino
85,6.0138582719814e-4,5.7997099331002e-4,0.5113696774977293,Feminino
90,0.00202449001524849,0.00175413983608779,0.94201910132752,Feminino
0,0.00141351598509616,0.0013492851883945,8.710745511537482,Masculino
1,3.788845053188869e-5,3.749880975946953e-5,6.209868347474771,Masculino
5,3.1204066531280425e-5,2.848222799596864e-5,9.726050358294698,Masculino
10,1.3368385672041356e-5,1.0698629412831586e-5,2.5657377190276818,Masculino
15,2.2488838284669e-4,2.1816375736714e-4,10.796002800450628,Masculino
20,1.1300842800236e-4,9.960389290979274e-5,3.551356609170564,Masculino
25,6.400685364698253e-5,5.4706627543877067e-5,2.0302821779793243,Masculino
30,1.9857562121211964e-5,1.909494774516153e-5,0.666147507879062,Masculino
35,2.984516170340759e-5,2.695096964620055e-5,0.7985838352291211,Masculino
40,9.613713626526916e-5,7.62511889750195e-5,1.806613138780155,Masculino
45,1.4208935438525e-4,1.1344967586979e-4,1.9561949667802472,Masculino
50,3.8618344289675e-4,3.695185871576e-4,4.4054362441052355,Masculino
55,3.0390521050884e-4,2.9911335492889e-4,2.5002093691906477,Masculino
60,2.7257104073325e-4,2.5936149961673e-4,1.548857151852264,Masculino
65,1.9400964692893e-4,1.5046653649362e-4,0.6163947376965833,Masculino
70,2.8173750862561e-4,2.5840698757918e-4,0.7219568859150733,Masculino
75,0.00145689748739316,0.0013756647906595,2.4588545125391605,Masculino
80,0.00356275797297388,0.00339932083766367,3.85582116405092,Masculino
85,0.00129440943201491,0.00123236674295277,0.8930473749138289,Masculino
90,0.00651341536706129,0.00502314403799143,2.46032536872318,Masculino
0,0.00218577555868068,0.00204974106646996,13.933317585024469,Ambos
1,8.367023811737004e-5,7.832144257420936e-5,13.2775580994103,Ambos
5,3.301842155575778e-5,3.066207632750449e-5,11.569789961012717,Ambos
10,1.640115866464333e-5,1.2975591054366288e-5,3.7865937464001234,Ambos
15,9.740774795005424e-5,9.565790113840003e-5,7.548786916747077,Ambos
20,1.1292853644537004e-5,8.5836557543389e-6,0.4998827986402495,Ambos
25,4.047691974307397e-5,3.8771433271655206e-5,2.2448338751779864,Ambos
30,2.885850233425688e-5,2.283173007364305e-5,1.2137168434116732,Ambos
35,2.665720384006558e-5,2.3878842587199954e-5,1.0271391383230613,Ambos
40,3.901576377520572e-5,2.7748645653370035e-5,0.9176170141553136,Ambos
45,6.065589506970244e-5,4.941391688555413e-5,1.157385373464979,Ambos
50,1.8203703952321e-4,1.7579108819061e-4,2.830499626941628,Ambos
55,1.7211902067297e-4,1.7205018789075e-4,1.9347482957312905,Ambos
60,1.1684015836896e-4,1.0405558645571e-4,0.8013453475922465,Ambos
65,6.8302501619199e-4,6.3708125769232e-4,3.2674275094046257,Ambos
70,7.9195090125643e-4,6.6338023713867e-4,2.3635784766363788,Ambos
75,0.00154088362319482,0.00139582942335586,3.058255151232503,Ambos
80,0.00347413162704499,0.00332806699267223,4.4385894327478566,Ambos
85,6.018946974635e-4,5.2444133863966e-4,0.4260956167282692,Ambos
90,0.00267536695734116,0.0023080810705171,1.1963771802071013,Ambos
