sexo,idade,n_obs,RMSE,MAE,sMAPE
Ambos,0,4,4.46934824430728e-4,4.3720478182065255e-4,3.5464226021995238
Ambos,1,4,1.3514152397192306e-5,1.2712944447229661e-5,2.4905870591600947
Ambos,5,4,8.074250718682983e-6,7.483025840770356e-6,3.2558644630318083
Ambos,10,4,2.13486650342881e-5,2.0601383003617145e-5,6.684001120330218
Ambos,15,4,1.0776607899073291e-4,8.259186168067145e-5,6.9062792228235095
Ambos,20,4,8.6174799679191e-5,6.026581864594931e-5,3.6849426528987723
Ambos,25,4,1.0791466755261984e-4,9.283465437980818e-5,5.757170053475741
Ambos,30,4,1.1166719003787423e-4,1.0695758665464465e-4,6.078542186046895
Ambos,35,4,9.586468265553201e-5,8.892991493243316e-5,4.207064386138833
Ambos,40,4,1.3914511080189606e-4,1.3639456041237056e-4,4.824223324151973
Ambos,45,4,1.4204280813471867e-4,1.3535827778303282e-4,3.4370433496910304
Ambos,50,4,1.563123326206646e-4,1.5233210941757096e-4,2.6519389829473616
Ambos,55,4,2.6030868088013174e-4,2.4293504606678505e-4,2.9009692040694848
Ambos,60,4,3.571702087481238e-5,3.0944444427998506e-5,0.24765689649155692
Ambos,65,4,1.421724419174724e-4,1.0524496001232224e-4,0.5755221379604196
Ambos,70,4,3.4011444830203187e-4,3.258398417228178e-4,1.2321135758866508
Ambos,75,4,2.0986985170120883e-4,1.9033312252453131e-4,0.44362267187287363
Ambos,80,4,0.001069712472534338,0.001059350864110388,1.4846719488676645
Ambos,85,4,0.002941920899989194,0.002788033651677995,2.3332368189177886
Ambos,90,4,0.004845836950803936,0.004789338804779303,2.4404557731846634
Feminino,0,4,7.913432029198177e-4,7.196845277011692e-4,6.510003681141926
Feminino,1,4,1.7240300592884e-5,1.512500859233858e-5,3.2355498427496903
Feminino,5,4,7.694797165142402e-6,6.7413265426889276e-6,3.3255863549376263
Feminino,10,4,5.552003314528967e-6,5.422501475440353e-6,2.224440807329111
Feminino,15,4,7.719214470978954e-6,6.245524827388924e-6,1.39671914552977
Feminino,20,4,5.269067615046887e-6,4.553541634542876e-6,0.8136694429183337
Feminino,25,4,2.6985638526332106e-5,2.6480766372100712e-5,3.966831130474315
Feminino,30,4,2.9018918349051673e-5,2.8599009659545707e-5,3.199231129290794
Feminino,35,4,4.183176261816957e-5,3.9238010737933525e-5,3.0960038949858504
Feminino,40,4,5.171296923707047e-5,5.001652300726608e-5,2.707633734437173
Feminino,45,4,5.009173030395676e-5,4.8936622741381974e-5,1.808339431756111
Feminino,50,4,2.7729400634789505e-5,2.3772891334161456e-5,0.6013917135658465
Feminino,55,4,4.422433043216933e-5,3.718430887288517e-5,0.6287236574675441
Feminino,60,4,2.3954253569616647e-4,2.323116521427901e-4,2.5755775891018775
Feminino,65,4,2.1100326333171754e-4,1.7017525376118291e-4,1.2252957863798064
Feminino,70,4,9.933528382718636e-5,9.593685098378997e-5,0.4691126451217669
Feminino,75,4,1.3040751951180746e-4,1.0624327033327899e-4,0.295351085315653
Feminino,80,4,2.13217997287663e-4,1.9942120189091715e-4,0.31971248414221487
Feminino,85,4,0.0018163181584739273,0.0016651910023600495,1.518175609747572
Feminino,90,4,0.0023800568523997135,0.0023151898003705013,1.2277450627054294
Masculino,0,4,0.0010588873900605122,9.49681443861719e-4,7.344247611040851
Masculino,1,4,3.1625081841724766e-5,2.5499291791703573e-5,4.758197607603675
Masculino,5,4,3.65941398111895e-6,2.7989241141510967e-6,1.0972099931823245
Masculino,10,4,4.1780018688608214e-5,4.03226804239082e-5,10.803115148253687
Masculino,15,4,2.3930946971389654e-4,1.7246391511444232e-4,8.90957929636477
Masculino,20,4,1.915981870399702e-4,1.2587852475079246e-4,4.645877423059881
Masculino,25,4,1.641012737965355e-4,1.2929746127037076e-4,5.0846658314639015
Masculino,30,4,1.3836721779020346e-4,1.2846567166057755e-4,4.911874660842777
Masculino,35,4,6.743008555157232e-5,6.440860267838816e-5,2.17245630157371
Masculino,40,4,1.2756037244851832e-4,1.2306538759133674e-4,3.2348004862959816
Masculino,45,4,1.574268496644044e-4,1.4405484397197262e-4,2.7638463594607954
Masculino,50,4,1.6012733623646581e-4,1.583787862926198e-4,2.0728292149722627
Masculino,55,4,3.094646674928679e-4,2.997582468442059e-4,2.7113647511204015
Masculino,60,4,6.427478062969712e-5,5.502739419967033e-5,0.33634768580274305
Masculino,65,4,9.82870492534514e-4,9.34781693575611e-4,4.067169073669306
Masculino,70,4,1.4738419145082408e-4,1.1737312602799928e-4,0.35290401349162404
Masculino,75,4,5.973094744316489e-4,5.780328321080292e-4,1.105671384189124
Masculino,80,4,0.0010296964524410738,0.0010243561146482498,1.220752599637833
Masculino,85,4,0.0031660695158440815,0.002988906441967122,2.210571988608751
Masculino,90,4,0.01230906343246518,0.011951777313899237,5.688008396522952
