sexo,idade,RMSE,MAE,sMAPE
Ambos,0,0.0006911937345377923,0.0006259928940363867,5.17017216427168
Ambos,1,2.1500054462277133e-05,1.8852842573641258e-05,3.764578637652046
Ambos,5,5.51790056168273e-06,4.857791520046559e-06,2.1652660007478053
Ambos,10,1.597489842328117e-05,1.50827411020465e-05,4.881759616471205
Ambos,15,9.577787748962492e-05,7.209837586546206e-05,6.0719032338237415
Ambos,20,5.8411479559002216e-05,4.258968447306378e-05,2.621262781301691
Ambos,25,7.166413661635377e-05,6.651693542928554e-05,4.12271756197414
Ambos,30,8.105471584623339e-05,7.368761324217011e-05,4.1638136443126195
Ambos,35,5.0543176621193406e-05,4.5827613334149656e-05,2.171691983500647
Ambos,40,6.871167845003415e-05,6.533472592160864e-05,2.3277871039616085
Ambos,45,8.570180461834848e-05,8.189538876869564e-05,2.0862010110161364
Ambos,50,3.6358846841860945e-05,3.191885486460502e-05,0.5574337772944765
Ambos,55,0.00014425020939326267,0.00012865946069299606,1.5385305046092055
Ambos,60,4.281100694415975e-05,4.0194371741193724e-05,0.3238105717866066
Ambos,65,0.00027558659969136246,0.00023771886525930219,1.305688214669485
Ambos,70,7.553270585485897e-05,5.396487314352806e-05,0.20486582912302045
Ambos,75,0.0001235618162487018,9.380064837512768e-05,0.21846589715388662
Ambos,80,0.0004218890527733389,0.00042071117195483995,0.5933402818627198
Ambos,85,0.003135200547553405,0.0027896505144055436,2.3263337651453093
Ambos,90,0.004455155712365648,0.004327505245870111,2.2054590062956825
Feminino,0,0.0006859471211460456,0.0005986717389646749,5.355214427988738
Feminino,1,2.2889774240047902e-05,2.0178128564783665e-05,4.329820537408349
Feminino,5,6.605747492226027e-06,6.522534983798279e-06,3.247473044395319
Feminino,10,2.29822973635403e-06,1.8562332340790605e-06,0.7685466277732039
Feminino,15,7.453887370598832e-06,6.081914604716044e-06,1.336890338127724
Feminino,20,2.6852418838231124e-06,2.4403156121852415e-06,0.4351355394927441
Feminino,25,1.831371664994855e-05,1.7173763539396334e-05,2.5880762324688096
Feminino,30,2.623431586942364e-05,2.2701035366793205e-05,2.5281772059542393
Feminino,35,2.7637253584986702e-05,2.4020888047079914e-05,1.9015541577209274
Feminino,40,3.4949961089613886e-05,3.214273564358113e-05,1.7467213356546032
Feminino,45,2.8575764767880534e-05,2.6234707148203146e-05,0.9695050946795335
Feminino,50,1.9959846382722297e-05,1.6801209163470714e-05,0.42588454917810636
Feminino,55,5.1890594098917244e-05,4.4167740857564e-05,0.7486645753564624
Feminino,60,0.00026428185399406096,0.00024028055824038518,2.6564371508137485
Feminino,65,0.00022984408783852984,0.0002022083058749566,1.4550378047176424
Feminino,70,0.0001401392983981983,0.00013420204439513247,0.6562392446560128
Feminino,75,0.0003069160587860764,0.00026630439877700293,0.7442027126836381
Feminino,80,0.0002643994832378777,0.0001778278518468398,0.2879502005096898
Feminino,85,0.0018216315185219862,0.0016150127289310985,1.4704106801369823
Feminino,90,0.002086203994312548,0.0019487358469796393,1.0331724484880516
Masculino,0,0.0010450508126924741,0.0009699255280294387,7.457319683502299
Masculino,1,3.104472831277306e-05,2.7364769464477748e-05,5.104815129375135
Masculino,5,5.877291728565178e-06,4.999422862467858e-06,2.0514545331603795
Masculino,10,3.331514995130759e-05,3.08014067823132e-05,8.203322936865781
Masculino,15,0.00017292364423912796,0.0001366191023009456,7.15126549984676
Masculino,20,0.00011636929170076205,8.254662566743146e-05,3.088399289954577
Masculino,25,0.00015469490837645569,0.0001255743686588858,4.940481015660509
Masculino,30,0.00010098366438564194,9.383393791907865e-05,3.5589628800714994
Masculino,35,7.838422437579634e-05,7.698469297602519e-05,2.557730409404419
Masculino,40,9.582811191970642e-05,9.38491758823676e-05,2.4703103264754924
Masculino,45,0.00012215742431466502,0.00011337873243235166,2.1782995872056636
Masculino,50,8.74907604103479e-05,8.540634734291539e-05,1.1198371562624487
Masculino,55,0.00021278898060301027,0.00020231870308232624,1.840332452599054
Masculino,60,0.00013992584669009632,0.00013821888911586498,0.8513243571095801
Masculino,65,0.0007784031461970783,0.00073970855856113,3.1910165452906036
Masculino,70,4.5363969885712215e-05,3.95408642468037e-05,0.11722952125199256
Masculino,75,0.0007096479714540252,0.0006198954773561482,1.1788678210621668
Masculino,80,0.0005630831035291682,0.0005314265589445345,0.6333844549402249
Masculino,85,0.003085425643171893,0.0026633425078640416,1.966297919171249
Masculino,90,0.009309473355843268,0.008941082274225291,4.235568788973124
