idade,RMSE,MAE,sMAPE,sexo
0,7.1045863590756e-4,6.1305036271008e-4,5.513129125457121,Feminino
1,2.554768303972737e-5,2.3355442627457184e-5,5.026166826553705,Feminino
5,1.3778477726521468e-5,1.3512640570527091e-5,6.579053999337301,Feminino
10,1.0722196804803552e-5,1.0437951278458758e-5,4.246334836103612,Feminino
15,1.4187334464093877e-5,1.2311865946652368e-5,2.7219135618639356,Feminino
20,9.5088702194446e-6,7.277655317000593e-6,1.3126648434741237,Feminino
25,3.39800206629417e-5,3.3422364200643106e-5,4.98222138307252,Feminino
30,4.472092106427795e-5,4.4136288494763e-5,4.896998809014093,Feminino
35,3.670603742405141e-5,3.5939776248791614e-5,2.8316127609189756,Feminino
40,3.697205308098363e-5,3.476710133283698e-5,1.890549105262561,Feminino
45,3.502639306014795e-5,3.331509097455917e-5,1.2266776818860687,Feminino
50,1.6666445044215106e-5,1.3903312276654844e-5,0.3451801132378476,Feminino
55,6.112468550244937e-5,5.798125570776087e-5,0.9846452247288168,Feminino
60,3.9691455451907e-4,3.8595631944856e-4,4.317278472337271,Feminino
65,2.533928778795e-4,2.201996757397e-4,1.587079929876695,Feminino
70,3.4676953199151e-4,3.4611647418652e-4,1.706760416852937,Feminino
75,5.5897989423465e-4,5.5763678938821e-4,1.5723158593371598,Feminino
80,3.1846661379327e-4,2.288380076129e-4,0.37025602285677905,Feminino
85,0.00159655942227847,0.00148330065687996,1.3521437559767984,Feminino
90,0.00389096325520445,0.00382322388729527,2.0361232936799274,Feminino
0,3.2132979134354e-4,3.1957935266913e-4,2.3684990166833213,Masculino
1,7.749123660374261e-6,7.0723791882188315e-6,1.2766357603768168,Masculino
5,2.846151487909604e-5,2.8266804194292156e-5,10.7407196372046,Masculino
10,5.5946350529708656e-5,5.361577175959089e-5,14.09202425837682,Masculino
15,2.1494894201692e-4,1.6239665788742e-4,8.436194572215873,Masculino
20,2.0126493013535e-4,1.307191308862e-4,4.814763292204911,Masculino
25,2.2023130886994e-4,1.8499384349324e-4,7.149698462135969,Masculino
30,3.2257184741629e-4,2.8936880890932e-4,10.66582410951263,Masculino
35,1.1800528596524e-4,8.720597606942074e-5,2.958905009007439,Masculino
40,2.4647667749205e-4,2.3344111465146e-4,6.0457360601916825,Masculino
45,1.8900752725978e-4,1.54732647533e-4,2.9781383271591344,Masculino
50,2.4598274218503e-4,2.2700007509681e-4,2.969198055267807,Masculino
55,1.4327194572468e-4,1.2871815208561e-4,1.1692134774513434,Masculino
60,1.3951054592427e-4,1.2801076082948e-4,0.7870363489375255,Masculino
65,0.00135495132196912,0.00131230192919076,5.752189109807956,Masculino
70,8.188655584689e-4,8.0773075311858e-4,2.418974810866888,Masculino
75,0.0013315870468985,0.00130930698821123,2.510604957857963,Masculino
80,0.00202440479995372,0.0019947525745835,2.3682515688594923,Masculino
85,0.00367640160896754,0.00352865304108416,2.603887423717969,Masculino
90,0.01524557154739823,0.01495280636020983,7.167780326802265,Masculino
0,4.4908399973155e-4,2.4622121813272e-4,1.9190151554117365,Ambos
1,2.029561814826471e-5,1.734697623539239e-5,3.462262737150442,Ambos
5,1.5747108122620253e-5,1.5334377838974605e-5,6.573846348649869,Ambos
10,2.469161328275381e-5,2.3393246099545183e-5,7.556711992472531,Ambos
15,8.766419800039767e-5,8.113585605835292e-5,6.776390630104249,Ambos
20,6.147075482980496e-5,4.713324677908733e-5,2.892646227721922,Ambos
25,1.0004625609746e-4,9.284991407253368e-5,5.74497396493477,Ambos
30,1.2270529487225e-4,1.2065423414238e-4,6.817425834023205,Ambos
35,8.245806923554598e-5,7.531435783783959e-5,3.5787308501065036,Ambos
40,6.0446251883186045e-5,5.664963093464164e-5,2.0418693047562777,Ambos
45,8.746871243268537e-5,7.952759809982805e-5,2.041733208035351,Ambos
50,1.2076393780559e-4,1.182894147935e-4,2.062331004141751,Ambos
55,1.7348954300825e-4,1.6769020058511e-4,2.0063799714261235,Ambos
60,1.3365850678696e-4,1.0687989487251e-4,0.8470384159074418,Ambos
65,1.3750211152156e-4,1.0884598419278e-4,0.5940190736307265,Ambos
70,3.9109908222957745e-5,3.7180118701847335e-5,0.14048495370178057,Ambos
75,5.799812215314e-4,4.8045173567687e-4,1.116883495151268,Ambos
80,5.7454006272963e-4,5.649983649064e-4,0.7933811168164271,Ambos
85,0.00273569028794011,0.00264159941055349,2.2107325764068717,Ambos
90,0.00638561701420091,0.0063205432993845,3.233567719422996,Ambos
