idade,RMSE,MAE,sMAPE,sexo
0,8.7817440336092e-4,8.0240682321141e-4,7.309496970307464,Feminino
1,3.462779297471371e-5,3.294807257294384e-5,7.239704357946429,Feminino
5,1.596994008080617e-5,1.5486831607012914e-5,7.486295638530152,Feminino
10,8.809144249178308e-6,8.791212501905054e-6,3.5820958243142123,Feminino
15,1.6689695321785164e-5,1.5518923334244698e-5,3.4098547232828427,Feminino
20,5.7343146066821674e-6,5.559535763370523e-6,0.992379676473618,Feminino
25,2.9737125025703688e-5,2.913194884124643e-5,4.35046051716207,Feminino
30,4.034063379418656e-5,3.978695431299675e-5,4.420326028088318,Feminino
35,2.0349707674321244e-5,1.83174497395304e-5,1.4573606990187136,Feminino
40,7.242863531709943e-5,7.08118565877803e-5,3.807839372714556,Feminino
45,5.916905724999014e-5,5.832969171012893e-5,2.141501106558138,Feminino
50,1.8849282049254895e-5,1.277558524117044e-5,0.328896422582277,Feminino
55,1.4155045636477e-4,1.2689923613752e-4,2.183875338724696,Feminino
60,5.6276752026344e-4,5.4379377463625e-4,6.145174570676916,Feminino
65,4.2071270838402e-4,3.6414824667494e-4,2.6401411458445425,Feminino
70,5.2110269243351e-4,5.0948216901768e-4,2.532909520835963,Feminino
75,8.7425598882087e-4,8.6029633970032e-4,2.4459031646578744,Feminino
80,6.348722844877e-4,5.0513157289977e-4,0.8186698593817081,Feminino
85,0.00148729825568727,0.00127797370654218,1.1650917358119863,Feminino
90,0.00363246564291319,0.00356984378322242,1.8998255609679449,Feminino
0,0.00174090810673167,0.00170416208092626,13.463849002105157,Masculino
1,8.125688961958142e-5,7.349342478848809e-5,14.440996086322816,Masculino
5,8.19718109411211e-6,7.518957974560692e-6,3.0949967359585777,Masculino
10,6.545007232944313e-5,6.370263037535862e-5,16.50539631695638,Masculino
15,2.6444325852426e-4,2.0330597052466e-4,10.365115370420718,Masculino
20,1.7708781293134e-4,1.1966900009152e-4,4.426164685281232,Masculino
25,6.627629610707606e-5,5.387904901765588e-5,2.1593057504909288,Masculino
30,1.0392123710505e-4,8.055350407794499e-5,3.312551566989602,Masculino
35,2.2711344039523e-4,1.9361307697148e-4,7.019618402005072,Masculino
40,2.0031272865927e-4,1.6701535623978e-4,4.685608225139488,Masculino
45,1.7940484369631e-4,1.6160906186589e-4,3.2107381810747304,Masculino
50,2.002523008535e-4,1.415548324679e-4,1.9430799268768195,Masculino
55,2.0187949559355e-4,1.5290165302817e-4,1.4241664162262588,Masculino
60,6.3737678988343e-4,5.7829731567319e-4,3.660447854690287,Masculino
65,0.00258916221987552,0.00240436975900057,10.892589496244463,Masculino
70,0.00191587766059034,0.0016184834543687,5.0254865768798975,Masculino
75,0.0031255038676349,0.00296543018602922,5.833334997822243,Masculino
80,0.00182369791808917,0.00142977168943302,1.754317709714491,Masculino
85,0.00374911650629054,0.00347593936256225,2.5642050626130732,Masculino
90,0.01878502127396468,0.01831923414977972,8.85856116730097,Masculino
0,0.00105634166950232,9.000427976579e-4,6.8664186591728065,Ambos
1,2.872505807744336e-5,2.47476368710272e-5,4.667307122638847,Ambos
5,2.1741125909620065e-5,2.162643605701284e-5,9.187156328076584,Ambos
10,2.8297230976166528e-5,2.734228162091437e-5,8.764747782815132,Ambos
15,8.993520012051738e-5,7.64898617469705e-5,6.394271030062937,Ambos
20,7.372532352361235e-5,5.2535275989690504e-5,3.2272773602403273,Ambos
25,1.2064623546955e-4,1.0290663047338e-4,6.354103390752707,Ambos
30,1.5721139255358e-4,1.4977204007316e-4,8.397215024466208,Ambos
35,1.1261036757352e-4,9.450302103612607e-5,4.469695178869884,Ambos
40,1.8367622969082e-4,1.8156796155268e-4,6.355552262782543,Ambos
45,1.1005174555993e-4,9.837351018848436e-5,2.5114379123387676,Ambos
50,1.358605992942e-4,1.213781730079e-4,2.12764076775491,Ambos
55,0.00025047920530848003,2.245158631746e-4,2.6918431972384265,Ambos
60,2.6650544056513e-4,2.3417362845137e-4,1.8591574209547967,Ambos
65,6.0888160179544e-4,5.4361911516111e-4,2.924583612819875,Ambos
70,3.9576552989117e-4,3.5240775007565e-4,1.3313769653206995,Ambos
75,6.6909714928243e-4,5.7399577423339e-4,1.3297556621890063,Ambos
80,0.00246961357258338,0.00242270951787383,3.3650255402684324,Ambos
85,0.00397435711405383,0.00373494138641095,3.109302044378404,Ambos
90,0.0063975408541348,0.00635189448975757,3.24976594153893,Ambos
