idade,RMSE,MAE,sMAPE,sexo
0,3.6468137392771e-4,3.2827072208234e-4,2.858328835840807,Feminino
1,1.605893442703005e-5,1.3406492126452572e-5,2.827682633470961,Feminino
5,1.485288768973932e-5,1.4647727867894548e-5,7.114372689533953,Feminino
10,1.3900593174605916e-5,1.3737962775221529e-5,5.549309001408396,Feminino
15,2.1214251731270778e-5,1.9268407669188587e-5,4.215205668228206,Feminino
20,7.004476271578324e-6,6.4103337708854024e-6,1.1402954993195795,Feminino
25,4.6144963480894904e-5,4.5595617090375896e-5,6.733744199193717,Feminino
30,5.6266348912403784e-5,5.491472053603178e-5,6.057464203228635,Feminino
35,4.355127507833745e-5,3.8607486872571195e-5,3.051690443216965,Feminino
40,9.321658452075534e-5,9.163592545595536e-5,4.9019382955732755,Feminino
45,1.2199220774586e-4,1.1951190933592e-4,4.360253555330948,Feminino
50,1.1566667538995e-4,9.86402091589677e-5,2.4687768480002195,Feminino
55,7.746512114246286e-5,6.772917396090004e-5,1.1438663583745246,Feminino
60,2.8871600029363e-4,2.8718675082424e-4,3.18458401424688,Feminino
65,1.2165127575363e-4,1.1346051113058e-4,0.8089398805781796,Feminino
70,1.3043700183756e-4,1.0653420909601e-4,0.5181983231785432,Feminino
75,2.5543607055416e-4,2.3710448437661e-4,0.6623510024135179,Feminino
80,2.5782970812674e-4,2.2410818277301e-4,0.35939667552586585,Feminino
85,0.00245333979902944,0.00227910639407966,2.071725928808322,Feminino
90,0.00368519578731659,0.00362238878808953,1.9279825736550784,Feminino
0,4.2090729255305e-4,3.6516084835537e-4,2.645529146645236,Masculino
1,3.042795703564243e-5,2.6206759312045205e-5,4.87002898903385,Masculino
5,1.922503778515337e-5,1.8988806131819997e-5,7.348209154174352,Masculino
10,5.695189303653804e-5,5.570924150244474e-5,14.593564137359287,Masculino
15,1.588788120521e-4,1.3546441671757e-4,7.063852021730156,Masculino
20,1.2861112069723e-4,9.49054359987621e-5,3.5274923375653273,Masculino
25,1.1840698196492e-4,8.341517774620164e-5,3.3430160705363496,Masculino
30,1.6704403478054e-4,1.5862691919381e-4,6.017654367834487,Masculino
35,1.5587346885171e-4,1.5512165242839e-4,5.109489593750784,Masculino
40,1.6682779640515e-4,1.4893710685239e-4,3.916846164516582,Masculino
45,2.6292576275044e-4,2.3196592077242e-4,4.410844504303159,Masculino
50,3.5851802758976e-4,3.4907227225262e-4,4.518319970772701,Masculino
55,5.4198381385209e-4,5.3544251849365e-4,4.7845732838358535,Masculino
60,3.9025390442342e-4,3.6459156639785e-4,2.2806345483316246,Masculino
65,0.00104004920303694,0.0010272436145547,4.463161340726647,Masculino
70,1.4418389157829e-4,1.22480240892e-4,0.362687557828131,Masculino
75,7.5940915033182e-4,7.3505076677511e-4,1.388546864542635,Masculino
80,0.00289341574951556,0.00289171862362206,3.41192226949968,Masculino
85,0.00315640087169529,0.00306681581900072,2.26445804485836,Masculino
90,0.01541403734550031,0.01513726165733842,7.259234171305353,Masculino
0,8.6557725071653e-4,7.8243162214278e-4,6.033365396860753,Ambos
1,2.5867628817875067e-5,2.0917679208501308e-5,3.9256053801074513,Ambos
5,2.468395090440877e-5,2.4586108064376574e-5,10.381110503896103,Ambos
10,3.786977609529236e-5,3.6828539796121735e-5,11.616636011795627,Ambos
15,9.107985087469412e-5,7.864423635487984e-5,6.571677889445976,Ambos
20,7.51635861847306e-5,5.733313658627594e-5,3.508072632231004,Ambos
25,1.4046814344378e-4,1.2957163895076e-4,7.912567744085299,Ambos
30,1.8953127320511e-4,1.8466975560665e-4,10.244749430432876,Ambos
35,2.0373412177641e-4,1.9449492154722e-4,8.940665732634285,Ambos
40,3.3947727735721e-4,3.351564021197e-4,11.430695465775417,Ambos
45,3.9000998185789e-4,3.7821964416446e-4,9.28621895944441,Ambos
50,4.1865554674167e-4,4.0538363658843e-4,6.898198359969804,Ambos
55,4.3970074343823e-4,4.194733004192e-4,4.947303523152234,Ambos
60,7.731294763777453e-5,5.910937741761095e-5,0.4685830877629076,Ambos
65,2.0137088664891e-4,1.865997416363e-4,1.00789974309664,Ambos
70,7.721708627176e-4,7.5166890347465e-4,2.816701822600322,Ambos
75,0.00110984579816788,0.00106836422563761,2.4616973861251004,Ambos
80,0.00189038786532586,0.00186368844590976,2.5991317223636927,Ambos
85,0.00447259386130833,0.00438044905810622,3.638256107444405,Ambos
90,0.00509323877719127,0.00501520682714439,2.557125002690657,Ambos
