
"year" "age" "V3" "V4" "V5"
"IDADE" "ANO" "Mulheres" "Homens" "Ambos"
"0" "2000" "1683872" "1739603" "3423475"
"1" "2000" "6858442" "6999630" "13858072"
"5" "2000" "8668650" "8710340" "17378990"
"10" "2000" "8798890" "8800488" "17599378"
"15" "2000" "8950892" "8880452" "17831344"
"20" "2000" "8283382" "8118846" "16402228"
"25" "2000" "7284148" "7067716" "14351864"
"30" "2000" "6857096" "6565143" "13422239"
"35" "2000" "6400789" "6065904" "12466693"
"40" "2000" "5563053" "5273405" "10836458"
"45" "2000" "4632276" "4381441" "9013717"
"50" "2000" "3714523" "3513166" "7227689"
"55" "2000" "2924768" "2729099" "5653867"
"60" "2000" "2470713" "2231885" "4702598"
"65" "2000" "1979498" "1698859" "3678357"
"70" "2000" "1579828" "1281222" "2861050"
"75" "2000" "1107301" "848360" "1955661"
"80" "2000" "679908" "468903" "1148811"
"85" "2000" "350623" "228515" "579138"
"90" "2000" "186577" "117729" "304306"
"0" "2001" "1642528" "1704785" "3347313"
"1" "2001" "6802827" "6973542" "13776369"
"5" "2001" "8665821" "8724351" "17390172"
"10" "2001" "8732414" "8739184" "17471598"
"15" "2001" "8962607" "8903787" "17866394"
"20" "2001" "8499732" "8327033" "16826765"
"25" "2001" "7417343" "7197895" "14615238"
"30" "2001" "6910920" "6619756" "13530676"
"35" "2001" "6519632" "6169167" "12688799"
"40" "2001" "5729124" "5413207" "11142331"
"45" "2001" "4802632" "4527540" "9330172"
"50" "2001" "3871350" "3646854" "7518204"
"55" "2001" "3029755" "2821696" "5851451"
"60" "2001" "2525683" "2281059" "4806742"
"65" "2001" "2034679" "1746252" "3780931"
"70" "2001" "1616190" "1305007" "2921197"
"75" "2001" "1162082" "879669" "2041751"
"80" "2001" "699427" "485731" "1185158"
"85" "2001" "361591" "232025" "593616"
"90" "2001" "195979" "122887" "318866"
"0" "2002" "1603231" "1671125" "3274356"
"1" "2002" "6716781" "6915356" "13632137"
"5" "2002" "8648410" "8731514" "17379924"
"10" "2002" "8684952" "8697358" "17382310"
"15" "2002" "8951190" "8901600" "17852790"
"20" "2002" "8673408" "8497220" "17170628"
"25" "2002" "7582248" "7357593" "14939841"
"30" "2002" "6976497" "6685050" "13661547"
"35" "2002" "6616605" "6256017" "12872622"
"40" "2002" "5892650" "5549301" "11441951"
"45" "2002" "4972838" "4674725" "9647563"
"50" "2002" "4031430" "3781189" "7812619"
"55" "2002" "3153587" "2930529" "6084116"
"60" "2002" "2576879" "2326319" "4903198"
"65" "2002" "2096808" "1801039" "3897847"
"70" "2002" "1651301" "1328055" "2979356"
"75" "2002" "1212446" "909909" "2122355"
"80" "2002" "726360" "505103" "1231463"
"85" "2002" "373507" "236134" "609641"
"90" "2002" "204805" "127185" "331990"
"0" "2003" "1570058" "1642237" "3212295"
"1" "2003" "6601959" "6826002" "13427961"
"5" "2003" "8617555" "8732420" "17349975"
"10" "2003" "8660668" "8679012" "17339680"
"15" "2003" "8914250" "8872016" "17786266"
"20" "2003" "8798487" "8624767" "17423254"
"25" "2003" "7783442" "7550116" "15333558"
"30" "2003" "7053556" "6761136" "13814692"
"35" "2003" "6695591" "6328215" "13023806"
"40" "2003" "6048554" "5679782" "11728336"
"45" "2003" "5142401" "4821648" "9964049"
"50" "2003" "4194367" "3916581" "8110948"
"55" "2003" "3292350" "3051626" "6343976"
"60" "2003" "2630694" "2373304" "5003998"
"65" "2003" "2162291" "1859409" "4021700"
"70" "2003" "1687759" "1353048" "3040807"
"75" "2003" "1257712" "937826" "2195538"
"80" "2003" "758607" "526179" "1284786"
"85" "2003" "386852" "241279" "628131"
"90" "2003" "213202" "130696" "343898"
"0" "2004" "1544006" "1619035" "3163041"
"1" "2004" "6466521" "6713722" "13180243"
"5" "2004" "8576265" "8727496" "17303761"
"10" "2004" "8654194" "8679579" "17333773"
"15" "2004" "8852486" "8816790" "17669276"
"20" "2004" "8880305" "8714537" "17594842"
"25" "2004" "8013828" "7768893" "15782721"
"30" "2004" "7141570" "6848252" "13989822"
"35" "2004" "6757103" "6387598" "13144701"
"40" "2004" "6198310" "5805690" "12004000"
"45" "2004" "5311197" "4966917" "10278114"
"50" "2004" "4360048" "4054292" "8414340"
"55" "2004" "3440347" "3179282" "6619629"
"60" "2004" "2696329" "2430314" "5126643"
"65" "2004" "2226582" "1916629" "4143211"
"70" "2004" "1728468" "1383066" "3111534"
"75" "2004" "1298291" "963110" "2261401"
"80" "2004" "794525" "548521" "1343046"
"85" "2004" "402241" "247823" "650064"
"90" "2004" "221666" "133765" "355431"
"0" "2005" "1523584" "1599962" "3123546"
"1" "2005" "6329775" "6597784" "12927559"
"5" "2005" "8514720" "8703156" "17217876"
